Scan,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
3469,0.0506592,-0.0408936,-0.0683594,-0.0119019,0.022583,-0.0747681,-0.00946045,0.117493,0.00213623,0.0354004,0.0396729,0.0216675,0.00854492,-0.00305176,-0.0234985,-0.0186157
3469,0.0506592,-0.0408936,-0.0683594,-0.0119019,0.022583,-0.0747681,-0.00946045,0.117493,0.00213623,0.0354004,0.0396729,0.0216675,0.00854492,-0.00305176,-0.0234985,-0.0186157
3579,0.0549316,-0.0418091,-0.0714111,-0.012207,0.0228882,-0.0753784,-0.010376,0.119019,0.00244141,0.0357056,0.0357056,0.0192261,0.00701904,-0.00396729,-0.0253296,-0.0186157
3579,0.0549316,-0.0418091,-0.0714111,-0.012207,0.0228882,-0.0753784,-0.010376,0.119019,0.00244141,0.0357056,0.0357056,0.0192261,0.00701904,-0.00396729,-0.0253296,-0.0186157
3669,0.0512695,-0.0427246,-0.0717163,-0.0131226,0.0231934,-0.0741577,-0.0115967,0.118103,0.00244141,0.0357056,0.0366211,0.0189209,0.00762939,-0.00396729,-0.0234985,-0.0192261
3669,0.0512695,-0.0427246,-0.0717163,-0.0131226,0.0231934,-0.0741577,-0.0115967,0.118103,0.00244141,0.0357056,0.0366211,0.0189209,0.00762939,-0.00396729,-0.0234985,-0.0192261
3779,0.0485229,-0.0427246,-0.0723267,-0.0149536,0.0244141,-0.0717163,-0.0106812,0.119934,0.00427246,0.0354004,0.0314331,0.0158691,0.00793457,-0.00549316,-0.0234985,-0.0183105
3779,0.0485229,-0.0427246,-0.0723267,-0.0149536,0.0244141,-0.0717163,-0.0106812,0.119934,0.00427246,0.0354004,0.0314331,0.0158691,0.00793457,-0.00549316,-0.0234985,-0.0183105
3869,0.0494385,-0.0436401,-0.0683594,-0.0112915,0.0219727,-0.0735474,-0.010376,0.118713,0.00305176,0.0357056,0.0341797,0.0183105,0.00823975,-0.00457764,-0.0238037,-0.0180054
3869,0.0494385,-0.0436401,-0.0683594,-0.0112915,0.0219727,-0.0735474,-0.010376,0.118713,0.00305176,0.0357056,0.0341797,0.0183105,0.00823975,-0.00457764,-0.0238037,-0.0180054
3979,0.0491333,-0.043335,-0.0671387,-0.0100708,0.020752,-0.0756836,-0.00946045,0.118103,0.00366211,0.0363159,0.0326538,0.0161743,0.00671387,-0.00640869,-0.0241089,-0.0183105
3979,0.0491333,-0.043335,-0.0671387,-0.0100708,0.020752,-0.0756836,-0.00946045,0.118103,0.00366211,0.0363159,0.0326538,0.0161743,0.00671387,-0.00640869,-0.0241089,-0.0183105
4069,0.0479126,-0.0421143,-0.0656128,-0.0125122,0.0195312,-0.0753784,-0.00946045,0.118713,0.00396729,0.0357056,0.03479,0.017395,0.00793457,-0.00488281,-0.0250244,-0.0198364
4069,0.0479126,-0.0421143,-0.0656128,-0.0125122,0.0195312,-0.0753784,-0.00946045,0.118713,0.00396729,0.0357056,0.03479,0.017395,0.00793457,-0.00488281,-0.0250244,-0.0198364
4179,0.0488281,-0.0393677,-0.0674438,-0.0115967,0.020752,-0.0753784,-0.00946045,0.116272,0.00396729,0.0357056,0.0314331,0.015564,0.00732422,-0.00427246,-0.0256348,-0.0201416
4179,0.0488281,-0.0393677,-0.0674438,-0.0115967,0.020752,-0.0753784,-0.00946045,0.116272,0.00396729,0.0357056,0.0314331,0.015564,0.00732422,-0.00427246,-0.0256348,-0.0201416
4269,0.0488281,-0.0384521,-0.062561,-0.010376,0.0198364,-0.0772095,-0.010376,0.11322,0.00488281,0.0375366,0.0326538,0.0161743,0.00701904,-0.00488281,-0.0247192,-0.0198364
4379,0.0500488,-0.0372314,-0.062561,-0.010376,0.0201416,-0.0772095,-0.00946045,0.114136,0.00274658,0.0357056,0.0308228,0.0161743,0.00732422,-0.00610352,-0.0253296,-0.0201416
4379,0.0500488,-0.0372314,-0.062561,-0.010376,0.0201416,-0.0772095,-0.00946045,0.114136,0.00274658,0.0357056,0.0308228,0.0161743,0.00732422,-0.00610352,-0.0253296,-0.0201416
4469,0.0473022,-0.0418091,-0.0656128,-0.0106812,0.0204468,-0.0747681,-0.010376,0.116577,0.00396729,0.0354004,0.0320435,0.0158691,0.00640869,-0.00457764,-0.0256348,-0.0198364
4469,0.0473022,-0.0418091,-0.0656128,-0.0106812,0.0204468,-0.0747681,-0.010376,0.116577,0.00396729,0.0354004,0.0320435,0.0158691,0.00640869,-0.00457764,-0.0256348,-0.0198364
4579,0.0500488,-0.0390625,-0.0653076,-0.010376,0.0213623,-0.0750732,-0.00976562,0.116577,0.00305176,0.0354004,0.0338745,0.017395,0.00762939,-0.00427246,-0.0241089,-0.0198364
4579,0.0500488,-0.0390625,-0.0653076,-0.010376,0.0213623,-0.0750732,-0.00976562,0.116577,0.00305176,0.0354004,0.0338745,0.017395,0.00762939,-0.00427246,-0.0241089,-0.0198364
