Scan,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
4381,-0.00335693,-0.000915527,-0.000305176,-0.00274658,-0.0012207,-0.00244141,-0.000305176,-0.00274658,-0.00183105,-0.00152588,-0.00244141,0,-0.00183105,-0.00183105,-0.00213623,-0.000610352
4381,-0.00335693,-0.000915527,-0.000305176,-0.00274658,-0.0012207,-0.00244141,-0.000305176,-0.00274658,-0.00183105,-0.00152588,-0.00244141,0,-0.00183105,-0.00183105,-0.00213623,-0.000610352
4481,-0.00366211,-0.00183105,-0.000305176,-0.00152588,-0.000915527,-0.00213623,0,-0.00396729,-0.00213623,-0.00183105,-0.00427246,0.000610352,-0.000305176,-0.00213623,-0.00213623,-0.000915527
4481,-0.00366211,-0.00183105,-0.000305176,-0.00152588,-0.000915527,-0.00213623,0,-0.00396729,-0.00213623,-0.00183105,-0.00427246,0.000610352,-0.000305176,-0.00213623,-0.00213623,-0.000915527
4581,-0.00427246,-0.000610352,-0.0012207,-0.00183105,-0.00152588,-0.00244141,-0.000305176,-0.00427246,-0.00305176,-0.00183105,-0.00305176,0,-0.0012207,-0.00213623,-0.00274658,-0.000610352
4581,-0.00427246,-0.000610352,-0.0012207,-0.00183105,-0.00152588,-0.00244141,-0.000305176,-0.00427246,-0.00305176,-0.00183105,-0.00305176,0,-0.0012207,-0.00213623,-0.00274658,-0.000610352
4681,-0.00305176,-0.00213623,0,-0.00152588,-0.000915527,-0.00213623,0.000305176,-0.00335693,-0.00244141,-0.00244141,-0.00274658,0.000915527,-0.00183105,-0.00244141,-0.00152588,-0.000610352
4681,-0.00305176,-0.00213623,0,-0.00152588,-0.000915527,-0.00213623,0.000305176,-0.00335693,-0.00244141,-0.00244141,-0.00274658,0.000915527,-0.00183105,-0.00244141,-0.00152588,-0.000610352
4791,-0.00366211,-0.000305176,0,-0.00213623,-0.000915527,-0.00183105,-0.00152588,-0.00427246,-0.00244141,-0.00152588,-0.00427246,0.000305176,-0.000610352,-0.00183105,-0.00213623,-0.000610352
4791,-0.00366211,-0.000305176,0,-0.00213623,-0.000915527,-0.00183105,-0.00152588,-0.00427246,-0.00244141,-0.00152588,-0.00427246,0.000305176,-0.000610352,-0.00183105,-0.00213623,-0.000610352
4881,-0.00305176,-0.00244141,-0.0012207,-0.00152588,-0.000610352,-0.00213623,0.000610352,-0.00366211,-0.00244141,-0.0012207,-0.00335693,-0.000305176,-0.00183105,-0.00244141,-0.00274658,-0.000610352
4991,-0.00335693,-0.0012207,-0.000610352,-0.00213623,-0.000610352,-0.00305176,-0.000610352,-0.00366211,-0.00335693,-0.00152588,-0.00366211,0.000915527,-0.00152588,-0.00213623,-0.00213623,-0.000610352
4991,-0.00335693,-0.0012207,-0.000610352,-0.00213623,-0.000610352,-0.00305176,-0.000610352,-0.00366211,-0.00335693,-0.00152588,-0.00366211,0.000915527,-0.00152588,-0.00213623,-0.00213623,-0.000610352
5081,-0.00335693,-0.0012207,-0.000915527,-0.00152588,-0.000915527,-0.00244141,-0.000305176,-0.00305176,-0.00152588,-0.0012207,-0.00335693,0.000305176,-0.00183105,-0.00213623,-0.00274658,-0.000610352
5081,-0.00335693,-0.0012207,-0.000915527,-0.00152588,-0.000915527,-0.00244141,-0.000305176,-0.00305176,-0.00152588,-0.0012207,-0.00335693,0.000305176,-0.00183105,-0.00213623,-0.00274658,-0.000610352
